description,title
"Ability to translate complex analytical findings into business recommendations. Work cross-functionally with business analysts and data engineers. Analyze large and complex datasets to extract actionable business insights. Collaborate with engineering and product teams to integrate models into production systems. A Master's or PhD in Statistics, Mathematics, Computer Science, or a related field is preferred.",Data Scientist
"Strong mathematical background in linear algebra, calculus, and probability. Experience with autonomous agents and AI orchestration frameworks is advantageous. Experience deploying models at scale using Docker and Kubernetes. Design and implement artificial intelligence solutions for real-world business problems. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Work with transformer architectures including BERT, GPT, and T5.",AI Engineer
"Implement cloud security best practices including IAM policies, encryption, and network segmentation. Evaluate and recommend cloud services and architectural patterns. Optimize cloud resource usage to reduce costs while maintaining performance. Collaborate with development teams to architect cloud-native applications. A degree in Computer Science, IT, or a related field is preferred. Relevant cloud certifications (AWS Solutions Architect, Azure Administrator) are preferred. Build and maintain CI/CD pipelines integrated with cloud deployment workflows.",Cloud Engineer
"Gather and prioritize product requirements from customers, stakeholders, and market research. Communicate product updates and milestones to executive leadership and stakeholders. Make data-driven decisions by analyzing user behavior and A/B test results. Experience with B2B or B2C SaaS products is highly desirable. Champion the voice of the customer throughout the organization.",Product Manager
"Familiarity with containerization using Docker is advantageous. Knowledge of CI/CD practices and automated testing is a plus. Proficiency in HTML5, CSS3, and modern front-end tooling (Webpack, Vite) is expected. Experience with both JavaScript and TypeScript is required. Develop RESTful APIs and server-side logic using Node.js, Django, or Flask. Ability to work independently and manage tasks with minimal supervision. Build responsive user interfaces using React, Angular, or Vue.js.",Full Stack Developer
"Maintain up-to-date knowledge of AI research, frameworks, and tooling. Work with transformer architectures including BERT, GPT, and T5. Collaborate with research teams to translate cutting-edge AI research into deployable products. Experience deploying models at scale using Docker and Kubernetes. Design and implement artificial intelligence solutions for real-world business problems. Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI.",AI Engineer
"Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Prepare security reports and communicate risks to executive stakeholders. Participate in red team and blue team exercises to test organizational defenses. Knowledge of ethical hacking methodologies and tools (Metasploit, Burp Suite, Nmap). Understanding of cryptography, PKI, and secure communications. Manage and respond to bug bounty program submissions. Administer and configure security tools including firewalls, IDS/IPS, and EDR solutions. Conduct security awareness training for employees across the organization.",Cyber Security Analyst
"Apply techniques such as regression, classification, clustering, and time-series forecasting. Proficiency in SQL for data extraction and exploration is required. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Work cross-functionally with business analysts and data engineers. Communicate findings clearly to both technical and non-technical stakeholders. Develop data visualizations using Matplotlib, Seaborn, Tableau, or Power BI.",Data Scientist
"Optimize web applications for maximum speed and scalability. Experience with both JavaScript and TypeScript is required. Knowledge of CI/CD practices and automated testing is a plus. Collaborate with UI/UX designers to implement pixel-perfect designs. Implement authentication and authorization mechanisms such as OAuth and JWT. Write clean, maintainable code with proper documentation and unit tests. Ability to work independently and manage tasks with minimal supervision. Familiarity with containerization using Docker is advantageous.",Full Stack Developer
"Ensure back-end services meet availability, scalability, and maintainability requirements. Implement caching strategies using Redis or Memcached. Experience with CI/CD pipelines and automated testing frameworks. Deploy and monitor back-end services in cloud environments. Document APIs using tools such as Swagger or Postman. Implement authentication, authorization, and security controls in back-end systems. Design and develop robust, scalable back-end services and APIs.",Backend Developer
"Experience with containerization using Docker and orchestration with Kubernetes. Strong problem-solving skills and ability to work under pressure during incidents. Collaborate with development teams to architect cloud-native applications. Knowledge of cloud networking and security architecture is expected. Excellent teamwork and communication skills are required. Work with managed database services including RDS, DynamoDB, and Cloud SQL. Implement cloud security best practices including IAM policies, encryption, and network segmentation. Build and maintain CI/CD pipelines integrated with cloud deployment workflows.",Cloud Engineer
"Good communication skills and ability to collaborate with remote teams. Proficiency in HTML5, CSS3, and modern front-end tooling (Webpack, Vite) is expected. Deploy applications to cloud platforms and configure hosting environments. Understanding of microservices architecture is beneficial. Implement authentication and authorization mechanisms such as OAuth and JWT. Passion for building user-friendly, scalable web products. Knowledge of CI/CD practices and automated testing is a plus. Build responsive user interfaces using React, Angular, or Vue.js.",Full Stack Developer
"Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Respond to security incidents, perform root cause analysis, and implement remediation. Proficiency in network security concepts including TCP/IP, DNS, and VPN is essential. Strong attention to detail and commitment to maintaining confidentiality. Experience with scripting languages (Python, Bash) for security automation. Prepare security reports and communicate risks to executive stakeholders.",Cyber Security Analyst
"Troubleshoot cross-browser compatibility issues and resolve performance bottlenecks. Ensure web accessibility standards are met across all user interfaces. Participate in Agile sprints, code reviews, and daily stand-ups. Architect end-to-end features across Vue.js, a GraphQL gateway, and a MongoDB data layer. Understanding of microservices architecture is beneficial. Work with relational and non-relational databases such as PostgreSQL and MongoDB. Integrate third-party services, payment gateways, and external APIs. Span the entire stack: craft Tailwind CSS components in the morning and optimise PostgreSQL queries in the afternoon.",Full Stack Developer
"Develop low-level system utilities and libraries in C++ and Rust for embedded platforms. Experience with microservices architecture and RESTful API design is expected. Deploy applications to cloud platforms including AWS, Azure, or GCP. Continuously improve software delivery pipelines using CI/CD tools. Write clean, scalable, and well-documented code following best practices. Use version control systems such as Git to manage source code.",Software Engineer
"Implement accessibility (WCAG) standards to ensure inclusive user experiences. Use build tools such as Webpack, Vite, or Parcel for asset bundling. Understanding of browser developer tools and performance profiling. Translate UI/UX designs into clean, semantic HTML, CSS, and JavaScript code. Experience with responsive design and mobile-first development approaches. Collaborate closely with back-end developers to integrate APIs and data services. Familiarity with CI/CD workflows and version control with Git.",Frontend Developer
Experience with Google Analytics or similar web analytics tools is beneficial. Write complex SQL queries to extract and transform data from relational databases. Strong organizational skills and ability to document analytical processes thoroughly. Strong proficiency in SQL and Excel is required. Work with data engineers to ensure data pipelines deliver accurate data. Assist in the design of data collection systems and databases.,Data Analyst
"Conduct vulnerability assessments and penetration testing on systems and applications. Review and audit access controls, user privileges, and identity management systems. A degree in Cyber Security, Computer Science, or Information Technology is required. Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Understanding of cryptography, PKI, and secure communications. Knowledge of ethical hacking methodologies and tools (Metasploit, Burp Suite, Nmap).",Cyber Security Analyst
"Ability to lead cross-functional teams without formal authority. Communicate product updates and milestones to executive leadership and stakeholders. Strong leadership, collaboration, and decision-making capabilities. Knowledge of UX design principles and ability to work closely with designers. Define and communicate the product vision, strategy, and roadmap. Experience with B2B or B2C SaaS products is highly desirable. Proficiency in tools such as JIRA, Confluence, Productboard, or Notion. Facilitate sprint planning, backlog grooming, and retrospective meetings.",Product Manager
"Understanding of FinOps principles and cloud cost management. Excellent teamwork and communication skills are required. Relevant cloud certifications (AWS Solutions Architect, Azure Administrator) are preferred. Proficiency with Terraform or similar IaC tools is essential. Knowledge of cloud networking and security architecture is expected. Maintain documentation for cloud architecture and operational procedures. Automate infrastructure provisioning using Terraform, CloudFormation, or Pulumi.",Cloud Engineer
"Understanding of microservices architecture is beneficial. Architect end-to-end features across Vue.js, a GraphQL gateway, and a MongoDB data layer. Knowledge of CI/CD practices and automated testing is a plus. Experience with both JavaScript and TypeScript is required. Ensure web accessibility standards are met across all user interfaces.",Full Stack Developer
"Attention to detail and strong organizational skills are expected. Experience with Agile methodologies and writing user stories is highly desirable. Identify risks and dependencies and escalate issues proactively. Proficiency in Excel, Tableau, or Power BI for data analysis and reporting is required. Strong analytical thinking and problem-solving capabilities. Create data-driven presentations to communicate insights to executive stakeholders.",Business Analyst
"Experience with both JavaScript and TypeScript is required. Switch fluidly between writing TypeScript React components and building Django REST framework endpoints. Good communication skills and ability to collaborate with remote teams. Proficiency in HTML5, CSS3, and modern front-end tooling (Webpack, Vite) is expected. Work with relational and non-relational databases such as PostgreSQL and MongoDB. Develop and maintain both front-end and back-end components of web applications. Experience with state management libraries such as Redux or Vuex.",Full Stack Developer
"Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Experience with autonomous agents and AI orchestration frameworks is advantageous. Maintain up-to-date knowledge of AI research, frameworks, and tooling. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems. Develop AI-powered APIs and microservices for integration into production systems. Ability to communicate AI concepts clearly to non-technical stakeholders.",AI Engineer
"Collaborate with technical teams to translate business needs into functional specifications. Support UAT (User Acceptance Testing) and validate that solutions meet requirements. Knowledge of SQL for basic data querying and validation is an advantage. A degree in Business Administration, Information Systems, or a related field is required. Excellent written and verbal communication skills are essential. Gather, analyze, and document business requirements from stakeholders. Experience with Agile methodologies and writing user stories is highly desirable.",Business Analyst
"Implement accessibility (WCAG) standards to ensure inclusive user experiences. Use CSS preprocessors such as SASS or LESS and utility frameworks like Tailwind CSS. Good communication skills and ability to work in a distributed team. Build and maintain responsive, high-performance user interfaces for web applications. Drive progressive web app (PWA) features including service workers, offline caching, and push notifications. Develop reusable components using React, Angular, or Vue.js. Focus exclusively on the browser layer: pixel-perfect HTML, CSS animations, and JavaScript interactions. Write unit tests and end-to-end tests for front-end components.",Frontend Developer
"Perform ad-hoc analysis to answer business questions quickly and accurately. A degree in Statistics, Mathematics, Computer Science, or a related field is preferred. Write complex SQL queries to extract and transform data from relational databases. Assist in the design of data collection systems and databases. Collaborate with stakeholders to understand data requirements and deliver insights. Experience with Google Analytics or similar web analytics tools is beneficial. Strong proficiency in SQL and Excel is required.",Data Analyst
"Conduct gap analysis to identify areas of improvement in existing processes. Gather, analyze, and document business requirements from stakeholders. Ability to manage multiple projects simultaneously and meet deadlines. Create data-driven presentations to communicate insights to executive stakeholders. Strong understanding of business process modeling using BPMN is preferred. Experience in the finance, healthcare, or retail sector is beneficial. Proficiency in Excel, Tableau, or Power BI for data analysis and reporting is required. Collaborate with technical teams to translate business needs into functional specifications.",Business Analyst
"Communicate findings clearly to both technical and non-technical stakeholders. Document methodologies, experiments, and results for reproducibility. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Knowledge of feature engineering and model selection techniques is essential. Design and execute A/B tests to evaluate product changes and business strategies. Stay current with the latest research in machine learning and data science.",Data Scientist
"Implement accessibility (WCAG) standards to ensure inclusive user experiences. Strong proficiency in HTML5, CSS3, and modern JavaScript (ES6+) is required. Translate UI/UX designs into clean, semantic HTML, CSS, and JavaScript code. Good communication skills and ability to work in a distributed team. Drive progressive web app (PWA) features including service workers, offline caching, and push notifications. Experience with responsive design and mobile-first development approaches. Integrate analytics and monitoring tools into web applications. Use CSS preprocessors such as SASS or LESS and utility frameworks like Tailwind CSS.",Frontend Developer
"Clean, transform, and validate data from multiple structured and unstructured sources. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Document methodologies, experiments, and results for reproducibility. Design and execute A/B tests to evaluate product changes and business strategies. Use Python and R to develop data analysis pipelines and experiments. Ability to translate complex analytical findings into business recommendations. Knowledge of feature engineering and model selection techniques is essential. Maintain and improve existing machine learning models in production.",Data Scientist
"Build and maintain responsive, high-performance user interfaces for web applications. Use CSS preprocessors such as SASS or LESS and utility frameworks like Tailwind CSS. Implement state management solutions using Redux, MobX, or Vuex. Craft performant React component libraries consumed by multiple product teams, with no server-side responsibilities. Collaborate closely with back-end developers to integrate APIs and data services.",Frontend Developer
"Experience with transformer architectures and pre-trained language models is a strong plus. Strong understanding of supervised and unsupervised learning algorithms is required. Knowledge of MLflow, Kubeflow, or similar ML lifecycle management tools is a plus. Contribute to the selection and evaluation of ML frameworks and tools. Familiarity with A/B testing and experimentation frameworks is desired. Design, build, and deploy scalable machine learning models and pipelines.",Machine Learning Engineer
"Automate repetitive reporting tasks using Python or R scripts. Strong organizational skills and ability to document analytical processes thoroughly. Assist in the design of data collection systems and databases. Identify trends, anomalies, and patterns in large datasets. Perform ad-hoc analysis to answer business questions quickly and accurately. Familiarity with Python (Pandas, NumPy) for data manipulation is a plus. Understanding of data warehousing concepts and ETL processes is a plus.",Data Analyst
"A degree in Computer Science, Information Technology, or a related field is preferred. Experience with service mesh technologies such as Istio is advantageous. Manage and provision infrastructure using Infrastructure-as-Code tools such as Terraform or Ansible. Design, implement, and maintain CI/CD pipelines to automate software delivery. Configure and maintain cloud environments on AWS, Azure, or GCP.",DevOps Engineer
"Implement authentication, authorization, and security controls in back-end systems. Integrate with third-party APIs, messaging queues, and external data sources. Develop and expose FastAPI endpoints consumed by mobile and web clients; front-end is handled by a separate team. Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Proficiency in Python, Java, Node.js, or Go is required. Write unit tests, integration tests, and ensure code quality through reviews.",Backend Developer
"Strong leadership, collaboration, and decision-making capabilities. Lead product discovery processes including user interviews and usability testing. Demonstrated track record of shipping successful products is required. Proficiency in tools such as JIRA, Confluence, Productboard, or Notion. Identify and mitigate product risks throughout the development lifecycle. Technical background or experience working closely with engineering teams. Collaborate with sales and customer success teams to ensure customer satisfaction.",Product Manager
"Evaluate and recommend cloud services and architectural patterns. Implement disaster recovery and backup strategies in the cloud. Migrate on-premises workloads to cloud environments with minimal disruption. Knowledge of cloud networking and security architecture is expected. Optimize cloud resource usage to reduce costs while maintaining performance. Work with managed database services including RDS, DynamoDB, and Cloud SQL. Excellent teamwork and communication skills are required. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver.",Cloud Engineer
"Maintain up-to-date knowledge of AI research, frameworks, and tooling. Familiarity with vector databases such as Pinecone, Weaviate, or FAISS is a plus. Collaborate with research teams to translate cutting-edge AI research into deployable products. Integrate AI models into web and mobile applications via REST APIs. Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required.",AI Engineer
"Administer Linux servers and ensure system security and stability. Understanding of Agile and Scrum delivery methodologies. Knowledge of networking concepts including DNS, load balancing, and firewalls is expected. Experience with Jenkins, GitLab CI, or GitHub Actions is required. Manage and provision infrastructure using Infrastructure-as-Code tools such as Terraform or Ansible. Hands-on experience with AWS services such as EC2, S3, RDS, and Lambda is preferred.",DevOps Engineer
"Develop AI-powered APIs and microservices for integration into production systems. Curiosity and passion for building innovative AI-driven products. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems. Collaborate with research teams to translate cutting-edge AI research into deployable products. Familiarity with vector databases such as Pinecone, Weaviate, or FAISS is a plus. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Knowledge of MLOps practices including experiment tracking and model monitoring. Strong mathematical background in linear algebra, calculus, and probability.",AI Engineer
"Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Integrate AI models into web and mobile applications via REST APIs. Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI. Optimize model inference pipelines for production-scale deployment. Develop AI-powered APIs and microservices for integration into production systems. Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Work with large language models (LLMs) and fine-tune pre-trained models for specific domains.",AI Engineer
"Experience with both JavaScript and TypeScript is required. Work with relational and non-relational databases such as PostgreSQL and MongoDB. Deliver features independently across the client, server, and database tiers of a Next.js e-commerce platform. Good communication skills and ability to collaborate with remote teams. Deploy applications to cloud platforms and configure hosting environments. Span the entire stack: craft Tailwind CSS components in the morning and optimise PostgreSQL queries in the afternoon. Implement authentication and authorization mechanisms such as OAuth and JWT.",Full Stack Developer
"Collaborate with research teams to translate cutting-edge AI research into deployable products. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Develop evaluation benchmarks and testing frameworks for AI system quality assurance. Experience with Hugging Face Transformers and model fine-tuning is highly desirable. Develop AI-powered APIs and microservices for integration into production systems.",AI Engineer
Strong SQL skills and database design experience are essential. Implement background job processing with Celery and Redis to handle asynchronous workloads at scale. Experience with CI/CD pipelines and automated testing frameworks. Familiarity with Docker and cloud deployment platforms is advantageous. Collaborate with front-end developers to define API contracts and data models.,Backend Developer
"Communicate findings clearly to both technical and non-technical stakeholders. Stay current with the latest research in machine learning and data science. Analyze large and complex datasets to extract actionable business insights. Develop data visualizations using Matplotlib, Seaborn, Tableau, or Power BI. Strong knowledge of statistics, probability, and linear algebra is required.",Data Scientist
"Proficiency with Docker and Kubernetes is essential for this role. Perform capacity planning and optimize cloud resource utilization. Configure and maintain cloud environments on AWS, Azure, or GCP. Containerize applications and manage Kubernetes clusters in production environments. Experience with service mesh technologies such as Istio is advantageous. Design, implement, and maintain CI/CD pipelines to automate software delivery. Work closely with development teams to improve deployment frequency and reliability. Ensure secure configuration of infrastructure components and access controls.",DevOps Engineer
"Work closely with engineering, design, and marketing teams to deliver product features. Make data-driven decisions by analyzing user behavior and A/B test results. Strong analytical skills and experience using data to drive product decisions. Experience with Agile product management and Scrum frameworks is required. Excellent communication and presentation skills for diverse audiences. Facilitate sprint planning, backlog grooming, and retrospective meetings. Write detailed product requirement documents and user stories for development teams.",Product Manager
"Collaborate with front-end developers to define API contracts and data models. Write unit tests, integration tests, and ensure code quality through reviews. Implement background job processing with Celery and Redis to handle asynchronous workloads at scale. Implement caching strategies using Redis or Memcached. Excellent problem-solving skills and ability to debug complex back-end issues. Document APIs using tools such as Swagger or Postman.",Backend Developer
"Identify trends, anomalies, and patterns in large datasets. Strong organizational skills and ability to document analytical processes thoroughly. Perform ad-hoc analysis to answer business questions quickly and accurately. Ability to manage multiple analysis requests with varying priorities. A degree in Statistics, Mathematics, Computer Science, or a related field is preferred.",Data Analyst
"Develop and maintain APIs and back-end services for web and mobile applications. Apply object-oriented and functional programming paradigms to deliver production-grade Java services. Work with databases including PostgreSQL, MySQL, and MongoDB. Build internal developer tooling and automation frameworks used by the wider engineering organisation. Familiarity with Docker and Kubernetes is a strong advantage.",Software Engineer
"Demonstrated track record of shipping successful products is required. Conduct competitive analysis and market research to inform product decisions. Communicate product updates and milestones to executive leadership and stakeholders. Gather and prioritize product requirements from customers, stakeholders, and market research. Strong leadership, collaboration, and decision-making capabilities. Work closely with engineering, design, and marketing teams to deliver product features. Collaborate with sales and customer success teams to ensure customer satisfaction.",Product Manager
"Ability to communicate AI concepts clearly to non-technical stakeholders. Curiosity and passion for building innovative AI-driven products. A Master's or PhD in Artificial Intelligence, Computer Science, or a related field is preferred. Familiarity with vector databases such as Pinecone, Weaviate, or FAISS is a plus. Ensure AI systems are fair, explainable, and compliant with ethical guidelines. Knowledge of MLOps practices including experiment tracking and model monitoring. Collaborate with research teams to translate cutting-edge AI research into deployable products.",AI Engineer
"Manage source code repositories and branching strategies with Git and GitHub. Perform capacity planning and optimize cloud resource utilization. Implement logging, alerting, and observability solutions across the infrastructure. Ensure secure configuration of infrastructure components and access controls. Understanding of Agile and Scrum delivery methodologies. Monitor system health, availability, and performance using tools like Prometheus and Grafana. Proficiency with Docker and Kubernetes is essential for this role.",DevOps Engineer
"A degree in Statistics, Mathematics, Computer Science, or a related field is preferred. Identify trends, anomalies, and patterns in large datasets. Write complex SQL queries to extract and transform data from relational databases. Work with data engineers to ensure data pipelines deliver accurate data. Develop KPIs and metrics to track business performance. Assist in the design of data collection systems and databases. Maintain and update existing reports and analytical models.",Data Analyst
"Relevant certifications such as CISSP, CEH, or CompTIA Security+ are preferred. Familiarity with cloud security best practices and tools is a strong plus. Conduct vulnerability assessments and penetration testing on systems and applications. Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Strong attention to detail and commitment to maintaining confidentiality. Conduct security awareness training for employees across the organization. Investigate phishing attacks, malware infections, and data breach attempts. Proficiency in network security concepts including TCP/IP, DNS, and VPN is essential.",Cyber Security Analyst
"Ensure back-end services meet availability, scalability, and maintainability requirements. Integrate with third-party APIs, messaging queues, and external data sources. Strong collaboration and communication skills are valued. Develop event-driven architectures using message brokers like Kafka or RabbitMQ. Experience with RESTful and GraphQL API design is expected. Familiarity with Docker and cloud deployment platforms is advantageous. Implement authentication, authorization, and security controls in back-end systems.",Backend Developer
Experience with RESTful and GraphQL API design is expected. Implement background job processing with Celery and Redis to handle asynchronous workloads at scale. Collaborate with front-end developers to define API contracts and data models. Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Deploy and monitor back-end services in cloud environments. Optimize database queries and back-end performance for high-traffic applications. Experience with CI/CD pipelines and automated testing frameworks.,Backend Developer
"Design and implement artificial intelligence solutions for real-world business problems. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems. Maintain up-to-date knowledge of AI research, frameworks, and tooling. Knowledge of MLOps practices including experiment tracking and model monitoring. Work with transformer architectures including BERT, GPT, and T5. Experience with autonomous agents and AI orchestration frameworks is advantageous.",AI Engineer
"Good communication skills and ability to collaborate with remote teams. Optimize web applications for maximum speed and scalability. Strong understanding of HTTP protocols, REST APIs, and web security. Implement authentication and authorization mechanisms such as OAuth and JWT. Switch fluidly between writing TypeScript React components and building Django REST framework endpoints. Passion for building user-friendly, scalable web products.",Full Stack Developer
"Experience with Jenkins, GitLab CI, or GitHub Actions is required. Ensure secure configuration of infrastructure components and access controls. Experience with service mesh technologies such as Istio is advantageous. Familiarity with configuration management tools like Chef, Puppet, or Ansible is a plus. Automate repetitive operational tasks using Bash, Python, or PowerShell scripts.",DevOps Engineer
"Manage source code repositories and branching strategies with Git and GitHub. Hands-on experience with AWS services such as EC2, S3, RDS, and Lambda is preferred. Monitor system health, availability, and performance using tools like Prometheus and Grafana. Containerize applications and manage Kubernetes clusters in production environments. Ability to respond to and resolve production incidents effectively. Configure and maintain cloud environments on AWS, Azure, or GCP. Perform capacity planning and optimize cloud resource utilization.",DevOps Engineer
"Focus exclusively on the browser layer: pixel-perfect HTML, CSS animations, and JavaScript interactions. Develop reusable components using React, Angular, or Vue.js. Good communication skills and ability to work in a distributed team. Integrate analytics and monitoring tools into web applications. Own the design-system implementation in Storybook, converting Figma tokens into reusable Tailwind components. Craft performant React component libraries consumed by multiple product teams, with no server-side responsibilities. Experience with responsive design and mobile-first development approaches.",Frontend Developer
"Integrate AI models into web and mobile applications via REST APIs. Experience deploying models at scale using Docker and Kubernetes. Strong understanding of neural network architectures and optimization techniques. Develop evaluation benchmarks and testing frameworks for AI system quality assurance. Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. A Master's or PhD in Artificial Intelligence, Computer Science, or a related field is preferred. Ensure AI systems are fair, explainable, and compliant with ethical guidelines.",AI Engineer
"Familiarity with ERP systems such as SAP or Oracle is a plus. Excellent written and verbal communication skills are essential. Facilitate workshops, interviews, and focus groups with key stakeholders. Support UAT (User Acceptance Testing) and validate that solutions meet requirements. Bridge the gap between business units and IT development teams.",Business Analyst
"Experience with data pipelines using Apache Spark or Apache Kafka is advantageous. Experience with transformer architectures and pre-trained language models is a strong plus. Work with large-scale datasets stored in distributed systems. Build and maintain MLOps infrastructure including model monitoring and retraining pipelines. Implement feature engineering, model versioning, and experiment tracking. Ability to communicate technical concepts clearly to both engineers and business stakeholders. Contribute to the selection and evaluation of ML frameworks and tools. Design, build, and deploy scalable machine learning models and pipelines.",Machine Learning Engineer
"Participate in UI code reviews and maintain front-end coding standards. Drive progressive web app (PWA) features including service workers, offline caching, and push notifications. Work within Agile teams and contribute to sprint planning and backlog grooming. Familiarity with TypeScript is highly desirable. Use build tools such as Webpack, Vite, or Parcel for asset bundling.",Frontend Developer
"Optimize ML models for latency, throughput, and resource efficiency. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous. Contribute to the selection and evaluation of ML frameworks and tools. Develop deep learning architectures for classification, regression, and generation tasks. Experience with transformer architectures and pre-trained language models is a strong plus.",Machine Learning Engineer
"Experience with microservices architecture and RESTful API design is expected. Excellent problem-solving skills and attention to detail are essential. Build internal developer tooling and automation frameworks used by the wider engineering organisation. Implement security best practices throughout the software development lifecycle. Write clean, scalable, and well-documented code following best practices.",Software Engineer
"Strong understanding of supervised and unsupervised learning algorithms is required. Develop deep learning architectures for classification, regression, and generation tasks. Write efficient Python code and ensure models meet performance benchmarks. Build and maintain MLOps infrastructure including model monitoring and retraining pipelines. Work in an Agile environment with regular sprint cycles and code reviews. Design, build, and deploy scalable machine learning models and pipelines.",Machine Learning Engineer
"Strong communication and collaboration skills are essential. Proficiency with Docker and Kubernetes is essential for this role. Experience with Jenkins, GitLab CI, or GitHub Actions is required. Implement logging, alerting, and observability solutions across the infrastructure. Configure and maintain cloud environments on AWS, Azure, or GCP. Ability to respond to and resolve production incidents effectively.",DevOps Engineer
"Experience with B2B or B2C SaaS products is highly desirable. A degree in Business, Computer Science, or a related field is preferred. Communicate product updates and milestones to executive leadership and stakeholders. Ability to lead cross-functional teams without formal authority. Identify and mitigate product risks throughout the development lifecycle. Strong analytical skills and experience using data to drive product decisions. Demonstrated track record of shipping successful products is required. Excellent communication and presentation skills for diverse audiences.",Product Manager
"Document methodologies, experiments, and results for reproducibility. Strong knowledge of statistics, probability, and linear algebra is required. Build and deploy predictive models using machine learning and statistical techniques. Proficiency in SQL for data extraction and exploration is required. Ability to translate complex analytical findings into business recommendations. Use Python and R to develop data analysis pipelines and experiments. Knowledge of feature engineering and model selection techniques is essential. Stay current with the latest research in machine learning and data science.",Data Scientist
"Proficiency in SQL for data extraction and exploration is required. Ability to translate complex analytical findings into business recommendations. Work with big data platforms and SQL/NoSQL databases to query large datasets. Strong knowledge of statistics, probability, and linear algebra is required. Implement NLP pipelines for text classification and sentiment analysis tasks. Collaborate with engineering and product teams to integrate models into production systems.",Data Scientist
"Implement algorithms and data structures to solve computationally intensive engineering problems. Strong proficiency in Python, Java, or C++ is required for this role. Optimize application performance and improve system scalability. Own the full software development lifecycle from architecture through deployment for core platform services. Research and adopt new technologies to improve development processes.",Software Engineer
"Build and maintain responsive, high-performance user interfaces for web applications. Collaborate closely with back-end developers to integrate APIs and data services. Specialise in Core Web Vitals optimisation, Lighthouse audits, and lazy-loading strategies for a high-traffic portal. Experience with responsive design and mobile-first development approaches. Familiarity with CI/CD workflows and version control with Git. Strong proficiency in HTML5, CSS3, and modern JavaScript (ES6+) is required.",Frontend Developer
"Own the server-side domain: schema design, stored procedures, and query optimisation in PostgreSQL. Knowledge of microservices and distributed systems architecture is preferred. Build server-side logic using Python (Django/Flask/FastAPI), Node.js, or Java Spring Boot. Maintain Spring Boot services that power the core business logic layer, leaving all UI concerns to frontend engineers. Design and develop robust, scalable back-end services and APIs. Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Develop and expose FastAPI endpoints consumed by mobile and web clients; front-end is handled by a separate team.",Backend Developer
"A degree in Computer Science, Software Engineering, or a related field is preferred. Strong proficiency in Python, Java, or C++ is required for this role. Contribute to architectural decisions and technical roadmap discussions. Participate in code reviews to ensure code quality and share knowledge with the team. Optimize application performance and improve system scalability. Deploy applications to cloud platforms including AWS, Azure, or GCP. Work closely with product managers and designers to translate requirements into technical solutions.",Software Engineer
"Craft performant React component libraries consumed by multiple product teams, with no server-side responsibilities. A degree in Computer Science, Web Development, or a related discipline is preferred. Familiarity with CI/CD workflows and version control with Git. Strong proficiency in HTML5, CSS3, and modern JavaScript (ES6+) is required. Strong eye for detail and passion for building great user experiences. Experience with React.js or Vue.js is essential for this position.",Frontend Developer
"Own the design-system implementation in Storybook, converting Figma tokens into reusable Tailwind components. Use build tools such as Webpack, Vite, or Parcel for asset bundling. Participate in UI code reviews and maintain front-end coding standards. Ensure cross-browser and cross-device compatibility of all UI components. Experience with React.js or Vue.js is essential for this position. Strong eye for detail and passion for building great user experiences. Focus exclusively on the browser layer: pixel-perfect HTML, CSS animations, and JavaScript interactions. Implement accessibility (WCAG) standards to ensure inclusive user experiences.",Frontend Developer
"Manage the product backlog and prioritize features based on business value. Facilitate sprint planning, backlog grooming, and retrospective meetings. Excellent communication and presentation skills for diverse audiences. Communicate product updates and milestones to executive leadership and stakeholders. Demonstrated track record of shipping successful products is required. Technical background or experience working closely with engineering teams.",Product Manager
